to,from,score_flow
8004,8002,0.876002
8006,8004,0.653007
8008,8006,0.542966
13002,8008,0.525068
13004,13002,0.521365
13006,13004,0.431678
13008,13006,0.34003
7012,7014,0.310002
9004,9002,0.309229
7010,7012,0.303711
9006,9004,0.302093
7008,7010,0.291912
9008,9006,0.28915
7006,7008,0.253586
9010,9008,0.250824
7004,7006,0.20854
9012,9010,0.206365
7002,7004,0.168286
9014,9012,0.166469
14004,14002,0.103183
12010,12012,0.103128
14006,14004,0.102879
12008,12010,0.102807
12006,12008,0.100741
14008,14006,0.10034
12004,12006,0.0978976
12002,12004,0.0974036
14010,14008,0.097389
14012,14010,0.0971609
9002,8004,0.0622183
7014,8004,0.0615975
7014,8002,0.0544175
9002,8002,0.0527134
13002,8006,0.05088
14002,13004,0.0425609
12012,13004,0.0423881
14002,13002,0.0423336
12012,13002,0.0420281
12012,13006,0.0296475
14002,13006,0.0296203
7014,8006,0.0295905
9002,8006,0.0290707
14010,9014,0.0192742
12004,7002,0.0192687
12008,7006,0.0189087
14006,9010,0.0186105
12002,7002,0.0184173
14012,9014,0.0182756
13002,9002,0.0182214
13002,7014,0.0181466
14004,9008,0.0149452
12010,7008,0.0148781
14008,9012,0.0146527
12006,7004,0.0146229
12012,7012,0.0145139
14002,9004,0.0143251
14002,9006,0.00966548
12012,7010,0.00954792
14004,9006,0.00954309
12010,7010,0.00942621
14008,9014,0.00483463
12006,7002,0.00475278
